"band","cohort","year","fpop","age","spf","x","y"
69614,18,19,42,2,3,28.25,3.75
69619,18,19,42,2,5,21.5,3.5
69626,18,19,42,2,3,31.4375,2.25
69630,18,19,42,2,2,21.833333333,2.5
69644,18,19,42,2,3,12.625,2
69650,18,19,42,2,3,21.375,2.875
69677,18,19,42,2,4,16.416666667,2.1666666667
69696,18,19,42,2,4,14.5,3.25
69699,18,19,42,2,3,25.125,4.25
73306,19,19,42,1,3,17.625,4.125
73318,19,19,42,1,1,6.6666666667,3.3333333333
73319,19,19,42,1,3,3.5,2.25
73534,19,19,42,1,5,11.25,3.375
73551,19,19,42,1,6,8.9166666667,3.25
73552,19,19,42,1,0,30.75,4
73553,19,19,42,1,2,28.5,2
73564,19,19,42,1,3,24.125,2.375
73570,19,19,42,1,6,26.375,3.75
73574,19,19,42,1,5,32.833333333,3.25
73578,19,19,42,1,2,27.875,2.5
73590,19,19,42,1,7,7.5,3.0833333333
73594,19,19,42,1,2,14.25,2.25
